street_code,name_es,name_eu,lon,lat,units,vut,hut,beds
5010,"Virgen del Coro, Calle de la",Koruko Ama Birjinaren Kalea,-1.986908,43.323687,3,2,1,9
5080,"Zaragoza, Plaza de",Zaragoza Plaza,-1.985385,43.317079,3,3,0,19
5090,"Zarategi, Paseo de",Zarategi Pasealekua,-1.95641,43.317631,3,3,0,15
570,"Ategorrieta, Avenida de",Ategorrieta Hiribidea,-1.96581,43.322017,3,3,0,15
6680,"Nafarroa Beherea, Plaza de",Nafarroa Beherea Plaza,-1.972296,43.323879,3,3,0,14
6690,"Parque, Calle del",Parke Kalea,-1.980469,43.31134,3,1,2,0
7420,"Donibane Garazi, Calle de",Donibane Garazi Kalea,-2.008021,43.312891,3,3,0,15
8290,"Manuel Lekuona, Calle de",Manuel Lekuona Kalea,-2.008595,43.310025,3,3,0,13
8410,"Urnieta, Calle de",Urnieta Kalea,-2.01459,43.310123,3,1,2,12
980,"Campanario, Calle del",Kanpandegi Kalea,-1.986927,43.323331,3,2,1,13
1000,"Karkizano, Calle de",Karkizano Kalea,-1.973243,43.322751,2,2,0,6
1330,"Doctor Claudio Delgado, Calle del",Claudio Delgado Doktorearen Kalea,-1.970703,43.324141,2,2,0,6
1555,"Humboldt, Calle de",Humboldt Kalea,-1.972142,43.31007,2,2,0,6
1645,"Gabriel María Lafitte, Plaza de",Gabriel María Lafitte Plaza,-1.972903,43.312275,2,2,0,4
1725,"César Chicote, Calle de",César Chicote Kalea,-1.977074,43.291918,2,1,1,11
1890,"General Artetxe, Calle del",Artetxe Jeneralaren  Kalea,-1.97289,43.324254,2,2,0,8
190,"Alfonso VIII, Calle de",Alfontso Viii.Aren  Kalea,-1.980783,43.317198,2,1,1,8
2160,"Intxaurrondo, Calle de",Intxaurrondo Kalea,-1.954124,43.321008,2,1,1,6
2430,"Juan de Bilbao, Calle de",Joan De Bilbao Kalea,-1.984992,43.324011,2,2,0,16
2480,"Julio Urkixo, Paseo de",Julio Urkixo Pasealekua,-1.941472,43.323449,2,2,0,8
2760,"Luises, Calle de los",Luistarren Kalea,-1.955207,43.31944,2,2,0,8
2770,"Luises Obreros, Plaza de los",Luistar Langileen Plaza,-1.976015,43.323452,2,2,0,7
2785,"Felisa Martín Bravo, Avenida de",Felisa Martin Bravo Hiribidea,-1.961562,43.304876,2,1,1,10
2820,"Maestro Guridi, Calle del",Guridi Musikariaren Kalea,-2.004687,43.312881,2,2,0,8
290,"Ametzagaña, Calle de",Ametzagaña Kalea,-1.968702,43.317168,2,1,1,6
3250,"Muelle, Paseo del",Kaiko Pasealekua,-1.990719,43.322876,2,2,0,9
3550,"Oiartzun, Calle de",Oiartzun Kalea,-1.968123,43.322758,2,2,0,7
3610,"Palacio, Calle del",Jauregi Kalea,-1.99818,43.311329,2,2,0,13
3840,"Pío XII, Plaza de",Pio Xii.Aren Plaza,-1.979515,43.30724,2,2,0,9
3950,"Reina Regente, Calle de la",Erregina Erregeordearen Kalea,-1.981509,43.322967,2,1,1,10
4150,"San Cristobal, Calle de",San Kristobal Kalea,-1.972729,43.31671,2,2,0,9
4420,"Sarriegi, Plaza de",Sarriegi Plaza,-1.983697,43.322871,2,2,0,5
4430,"Satrustegi, Avenida de",Satrustegi Hiribidea,-2.004948,43.317481,2,2,0,10
4470,"Serapio Mujika, Paseo de",Serapio Mujika Pasealekua,-1.944884,43.322988,2,2,0,6
4480,"Serrano Anguita, Calle de",Serrano Anguita Kalea,-2.003483,43.313955,2,1,1,6
4770,"Txingurriaenea, Paseo de",Txingurriaenea Pasealekua,-1.940804,43.315456,2,2,0,6
6370,"Izaburu, Calle de",Izaburu Kalea,-1.993155,43.311331,2,0,2,4
6530,"Marbil, Camino de",Marbil Bidea,-2.008534,43.316433,2,1,1,8
7390,"Vitoria-Gasteiz, Calle de",Vitoria-Gasteiz Kalea,-2.007041,43.313004,2,2,0,7
8100,"Bentaberri, Plaza de",Bentaberri Plaza,-2.004784,43.311982,2,2,0,8
8300,"Melodi, Calle de",Melodi Kalea,-1.991584,43.307076,2,2,0,9
8370,"Resurreccion María de Azkue, Calle de",Resurreccion María De Azkue Kalea,-2.007947,43.310046,2,2,0,6
90,"Alaiondo, Grupo",Alaiondo Auzunea,-1.969617,43.319875,2,2,0,4
1130,"Claudio Antón Luzuriaga, Calle de",Claudio Anton Luzuriaga Kalea,-1.975249,43.323947,1,1,0,6
1220,"Corsarios Vascos, Calle de los",Euskal Kortsarioen Kalea,-1.973095,43.305093,1,1,0,5
1300,"Deporte, Plaza del",Kirol Plaza,-1.996557,43.302864,1,1,0,4
1340,"Doctor Marañón, Paseo del",Marañón Doktorearen Pasealekua,-1.995356,43.308024,1,1,0,6
1355,"Xabier Aizarna, Paseo de",Xabier Aizarna Pasealekua,-1.970617,43.320734,1,1,0,4
1360,"Donostiazaharra, Grupo",Donostiazaharra Auzunea,-1.996335,43.308657,1,1,0,4
1370,"Duque de Baena, Paseo del",Baenako Dukearen Pasealekua,-1.993944,43.312431,1,1,0,8
1415,"Angela Figuera, Plaza de",Angela Figuera Plaza,-2.005002,43.303833,1,1,0,4
1545,"Pablo Sarasate, Calle de",Pablo Sarasate Kalea,-1.971839,43.308893,1,1,0,4
1565,"Juan Zaragüeta, Calle de",Juan Zaragueta Kalea,-1.972158,43.311277,1,1,0,4
1590,"Eskalantegi, Calle de",Eskalantegi Kalea,-1.919349,43.318987,1,1,0,4
1625,"Santiago, Plaza de",Santiago Plaza,-1.972735,43.310662,1,1,0,4
1630,"Esterlines, Calle de los",Esterlines Kalea,-1.985009,43.322877,1,1,0,4
1735,"Antonio Valverde, Calle de",Antonio Valverde Kalea,-1.976023,43.290154,1,1,0,8
1740,"Ferrerías, Calle de las",Olaeta Kalea,-1.977562,43.302763,1,1,0,3
1780,"Fueros, Paseo de los",Foru Pasealekua,-1.978988,43.319338,1,0,1,2
1795,"Golosoalde, Calle de",Golosoalde Kalea,-2.01627,43.309039,1,0,1,4
1860,"Garro, Calle de",Garro Kalea,-1.946342,43.317576,1,1,0,2
1885,"Larrerdi, Plaza de",Larrerdi Plaza,-1.937589,43.318726,1,0,1,2
200,"Alfonso XIII, Plaza de",Alfontso Xiii.Aren Plaza,-2.000745,43.314547,1,1,0,5
2040,"Herrera, Paseo de",Herrera Pasealekua,-1.933233,43.319291,1,1,0,5
2045,"José Olaizola, Calle de",José Olaizola Kalea,-1.98818,43.309882,1,1,0,6
2050,"Hipica, Camino de la",Hipika Bidea,-1.962397,43.302677,1,1,0,4
210,Alkainbide,Alkainbide,-1.987594,43.313981,1,1,0,6
2100,"Igara, Camino de",Igara Bidea,-2.021406,43.298318,1,1,0,4
2140,"Igeldo, Paseo de",Igeldo Pasealekua,-2.01127,43.315937,1,1,0,8
2150,"Igeltegi, Calle de",Igeltegi Kalea,-1.966513,43.310561,1,1,0,4
2185,"Macondo, Calle de",Macondo Kalea,-1.945466,43.321736,1,1,0,4
220,"Alto de Amara, Calle del",Amara Gaineko Kalea,-1.983324,43.313202,1,1,0,4
2560,"Larrañategi, Camino de",Larrañategi Bidea,-1.961689,43.295873,1,1,0,8
2570,"Larratxo, Paseo de",Larratxo Pasealekua,-1.938279,43.315266,1,1,0,3
260,"Altza, Paseo de",Altza Pasealekua,-1.930604,43.315101,1,1,0,4
2600,"Lasala, Plaza de",Lasala Plaza,-1.986413,43.322446,1,1,0,5
2610,"Dunas, Calle de las",Duna Kalea,-1.976517,43.322912,1,1,0,5
2630,"Lazkano, Paseo de",Lazkano Pasealekua,-1.990095,43.309856,1,0,1,4
2670,"Lizardi, Calle de",Lizardi Kalea,-1.952412,43.319041,1,1,0,3
2745,"Andereñoak, Plaza",Andereñoen Plaza,-1.961344,43.305104,1,0,1,2
2790,"Luis Pradera, Calle de",Luis Pradera Kalea,-1.946316,43.320521,1,1,0,8
2905,"Wroclaw, Plaza",Wroclaw Plaza,-1.9594,43.303718,1,0,1,4
2950,"Martutene, Paseo de",Martutene Pasealekua,-1.953843,43.295111,1,1,0,3
3180,"Misericordia, Calle de la",Miserikordia Kalea,-1.974546,43.3219,1,1,0,3
3280,"Munibe, Calle de",Munibe Kalea,-2.002641,43.31251,1,1,0,4
3380,"Nuestra Señora del Coro, Calle de",Koruko Andre Mariaren Kalea,-1.951873,43.318343,1,1,0,4
340,"Andoain, Calle de",Andoain Kalea,-1.992374,43.299998,1,0,1,7
3420,"Nueva, Calle",Kale Berria,-1.975892,43.322528,1,1,0,5
3460,"Oleta, Calzada de",Oleta Galtzada,-1.931456,43.320729,1,1,0,3
3470,"Olmos, Paseo de los",Zumardi Pasealekua,-1.941437,43.320895,1,1,0,2
3480,"Ondarbide, Calle de",Ondarbide Kalea,-2.002821,43.31411,1,1,0,5
3520,"Okendotegi, Camino de",Okendotegi Bidea,-1.956198,43.287555,1,0,1,2
3560,"Batxillardegi, Grupo",Batxillardegi Auzunea,-1.966277,43.309311,1,1,0,3
3600,"Clara Campoamor, Plaza de",Clara Campoamor Plaza,-1.997467,43.312777,1,1,0,6
3660,"Pasajes, Calle de",Pasaia Kalea,-1.967539,43.322491,1,1,0,4
3780,"Pescadores del Gran Sol, Calle de los",Gran Soleko Arrantzaleen Kalea,-1.970552,43.306136,1,1,0,5
3810,"Pinares, Plaza de",Pinudi Plaza,-1.975123,43.32212,1,1,0,8
3860,"Podavines, Calle de los",Podavines Kalea,-1.979413,43.302718,1,1,0,2
4170,"San Francisco Javier, Calle de",San Frantzisko Xabier Kalea,-1.967676,43.319274,1,1,0,4
4240,"San Lorenzo, Calle de",San Lorenzo Kalea,-1.983908,43.323088,1,1,0,4
4520,"Sierra de Urbasa, Calle de la",Urbasa Mendilerroaren Kalea,-1.966702,43.310288,1,1,0,3
4540,"Soraluze, Calle de",Soraluze Kalea,-1.983289,43.325124,1,1,0,5
4660,"Indianoene, Calle de",Indianoene Kalea,-1.965892,43.324898,1,1,0,4
4680,"Rodil, Calle de",Rodil  Kalea,-1.965712,43.324971,1,0,1,6
4840,"Untzaenea, Calle de",Untzaenea Kalea,-1.999304,43.310378,1,1,0,3
5040,"Biteri, Plaza de",Biteri Plaza,-1.974746,43.323262,1,1,0,5
5150,"Zubiondo, Calle de",Zubiondo Kalea,-1.96643,43.310841,1,1,0,4
550,"Atarieder, Plaza",Atarieder Plaza,-1.96508,43.311308,1,1,0,3
6010,"Aizkolene, Calle de",Aizkolene Kalea,-1.979926,43.299756,1,0,1,0
6030,"Alto de Zorroaga, Calle del",Zorroaga Gaineko Kalea,-1.966625,43.298785,1,1,0,8
6040,"Altxuene, Camino de",Altxuene Bidea,-1.988262,43.312464,1,1,0,8
6080,"Añorga, Avenida de",Añorga Hiribidea,-1.99999,43.285948,1,1,0,4
6130,"Atotxarreka, Camino de",Atotxarreka Bidea,-2.005158,43.291015,1,0,1,3
6210,"Cedro, Plaza del",Zedroaren Plaza,-1.941384,43.321176,1,1,0,4
6480,"Mendigain, Calle de",Mendigain Kalea,-1.968032,43.305054,1,0,1,4
6550,"Marrutxipi, Calle de",Marrutxipi Kalea,-1.958661,43.317977,1,0,1,4
6560,"Matxiñene, Calle de",Matxiñene Kalea,-1.967507,43.311891,1,0,1,2
660,"Baratzategi, Calle de",Baratzategi Kalea,-1.952352,43.313566,1,1,0,5
6760,"Portuetxe, Calle de",Portuetxe Kalea,-2.014816,43.301617,1,1,0,0
680,"Basotxiki, Calle de",Basotxiki Kalea,-1.952641,43.316013,1,1,0,4
6800,"San Bartolome, Callejon de",San Bartolome Kalexka,-1.987731,43.314644,1,1,0,3
690,"Baztan, Calle del",Baztan Kalea,-1.969142,43.318682,1,1,0,2
6990,"Txofre, Plaza del",Txofre Plaza,-1.971007,43.323966,1,1,0,3
7020,"Agerre, Camino de",Agerre Bidea,-1.964254,43.292986,1,1,0,8
7030,"Escritora Karmele Saint-Martin, Calle de la",Karmele Saint-Martin Idazlearen Kalea,-2.015009,43.306499,1,0,1,1
7040,"Isidro Ansorena, Calle de",Isidro Ansorena Kalea,-2.015701,43.305879,1,1,0,4
7050,"Escritor Jose Artetxe, Calle del",Jose Artetxe Idazlearen Kalea,-2.015873,43.305339,1,1,0,8
710,"Belizalde, Calle de",Belizalde Kalea,-1.987529,43.311164,1,0,1,2
7120,"Marugame, Plaza de",Marugame Plaza,-2.016208,43.304881,1,1,0,5
7150,"Orixe, Paseo de",Orixe Pasealekua,-2.005589,43.301269,1,0,1,2
7160,"Xabier Lizardi, Calle de",Xabier Lizardi Kalea,-2.0051,43.301935,1,1,0,6
7190,"Balentegi, Calle de",Balentegi Kalea,-2.004822,43.3019,1,1,0,4
7520,"Trento, Calle de",Trento Kalea,-2.006287,43.314062,1,1,0,4
7530,"Logroño, Calle de",Logroño Kalea,-2.007176,43.313719,1,1,0,3
7680,"Eibar, Plaza de",Eibar Plaza,-1.972558,43.305762,1,1,0,3
7690,"Extremadura, Calle de",Extremadura Kalea,-1.95826,43.312797,1,1,0,4
7750,"José María Busca Isusi, Calle de",José María Busca Isusi Kalea,-1.956006,43.311595,1,0,1,3
7880,"Pello Mari Otaño, Calle de",Pello Mari Otaño Kalea,-1.951906,43.313375,1,1,0,3
7920,"Gregorio Ordoñez, Calle de",Gregorio Ordoñez Kalea,-1.973467,43.30588,1,1,0,2
8000,"Wiesbaden, Calle de",Wiesbaden Kalea,-2.00531,43.315641,1,1,0,8
820,"Brunet, Calle de",Brunet Kalea,-2.004094,43.315102,1,1,0,4
8250,"Carmelo Etxegarai, Calle de",Karmelo Etxegarai Kalea,-2.00623,43.31138,1,1,0,4
8470,"Pepe Artola, Calle de",Pepe Artola Kalea,-1.962174,43.315205,1,1,0,6
860,"Buztintxulo, Calle de",Buztintxulo Kalea,-1.952255,43.311891,1,0,1,6
8600,"Txalupagillene, Plaza de",Txalupagillene Plaza,-2.003434,43.312912,1,1,0,3
8650,"Kañueta, Camino de",Kañueta Bidea,-2.003379,43.293895,1,1,0,5
8660,"Lanberri, Calle de",Lanberri Kalea,-1.983997,43.30027,1,0,1,2
870,"Egia, Calzada de",Egia Galtzada,-1.970905,43.321853,1,1,0,3
8770,"Intxaurdegi, Calle de",Intxaurdegi Kalea,-1.987708,43.288289,1,1,0,8
8810,"Katalina Eleizegi, Calle de",Katalina Eleizegi Kalea,-1.987738,43.305282,1,0,1,2
8820,"Katxola, Calle de",Katxola Kalea,-1.991492,43.295579,1,0,1,4
8840,"Lugaritz, Paseo de",Lugaritz Pasealekua,-1.997477,43.304566,1,1,0,2
